期数,目标号码,Top1命中,Top2命中,Top3命中,Top4命中,Top5命中,补漏6命中,Top5联合覆盖,Top5+补漏6联合覆盖,候选池覆盖
1,"8 10 25 29 30",0,0,0,0,0,1,0,1,4
2,"12 15 28 29 32",0,1,1,0,2,1,3,4,4
3,"9 10 11 12 29",1,2,2,0,2,1,4,4,5
4,"6 11 15 21 23",2,1,0,1,0,2,3,4,4
5,"3 9 10 11 26",0,1,1,0,2,1,4,4,5
6,"12 14 19 33 34",0,1,0,0,1,1,2,3,4
7,"2 11 16 23 28",1,0,1,1,0,0,2,2,3
8,"14 20 27 28 29",0,1,1,1,1,1,4,4,4
9,"5 18 26 29 32",1,0,1,0,0,0,1,1,2
10,"5 10 18 20 34",0,0,2,0,0,0,2,2,5
11,"7 25 32 33 35",1,0,1,0,1,0,2,2,3
12,"15 18 27 28 34",1,0,3,0,0,0,4,4,3
13,"6 10 12 21 22",0,1,1,0,1,0,2,2,4
14,"1 4 17 20 22",1,0,1,0,1,1,3,3,4
15,"4 6 7 33 34",0,0,2,0,3,2,4,4,4
16,"8 9 15 20 22",0,1,2,0,2,0,4,4,4
17,"1 8 25 31 33",0,0,1,1,1,2,3,4,5
18,"4 7 15 24 29",1,0,2,1,1,0,4,4,3
19,"1 4 17 33 34",1,2,0,0,0,1,3,3,4
20,"2 11 15 18 21",1,1,3,0,0,0,4,4,4
21,"8 12 16 19 35",1,0,0,2,1,0,3,3,3
22,"11 18 22 25 29",1,0,0,3,0,1,3,4,4
23,"12 14 16 19 28",1,1,1,2,1,1,4,4,4
24,"7 10 15 21 24",1,1,0,1,1,2,3,4,4
25,"2 14 32 34 35",0,1,0,2,1,1,4,4,5
26,"9 10 18 22 24",2,1,2,1,0,0,4,4,5
27,"1 4 6 15 18",2,1,1,1,1,2,2,2,4
28,"2 3 4 12 26",0,1,0,1,0,1,2,3,4
29,"12 17 18 20 34",0,1,1,0,1,0,2,2,3
30,"9 11 13 18 29",1,1,1,1,2,1,3,3,4
31,"2 5 9 14 33",2,1,0,1,1,0,4,4,4
32,"2 6 23 24 33",0,0,0,1,0,0,1,1,4
33,"5 13 14 16 20",0,0,0,1,0,0,1,1,5
34,"8 9 10 11 35",3,3,0,1,2,1,4,4,5
35,"2 11 12 32 34",2,1,1,0,1,1,4,4,4
36,"6 14 19 22 27",1,2,0,2,0,0,4,4,1
37,"1 19 22 25 27",1,1,0,0,0,1,2,2,3
38,"4 10 17 25 32",1,0,1,0,1,0,1,1,3
39,"1 7 9 16 30",0,0,2,1,1,1,3,3,2
40,"4 9 17 30 33",0,1,1,0,0,0,2,2,1
41,"7 13 14 19 27",0,0,1,1,1,0,2,2,2
42,"2 11 17 22 24",2,0,1,0,1,1,4,4,4
43,"5 24 25 32 34",0,1,0,0,0,0,1,1,4
44,"1 7 9 10 23",1,1,2,0,3,1,5,5,4
45,"6 12 20 26 31",1,1,0,0,0,1,2,3,2
46,"26 28 32 34 35",1,0,0,0,0,0,1,1,3
47,"5 7 19 26 32",1,0,1,0,0,0,2,2,3
48,"9 10 13 26 28",1,1,1,1,2,0,3,3,3
49,"5 8 19 32 34",0,1,1,1,0,0,2,2,3
50,"2 6 9 22 34",1,2,0,2,0,0,4,4,2
51,"15 16 26 28 34",2,1,1,0,1,1,3,3,2
52,"5 6 11 26 29",1,1,1,0,1,1,3,3,2
53,"5 7 8 15 33",0,1,2,1,2,1,3,3,5
54,"14 18 21 24 29",0,0,2,0,0,1,2,2,3
55,"4 8 10 13 26",2,1,0,1,2,0,4,4,3
56,"1 15 22 30 31",1,1,1,2,0,3,3,4,4
57,"2 9 14 21 26",1,0,1,1,2,1,4,4,2
58,"3 4 21 23 24",3,0,0,2,1,1,3,3,4
59,"1 14 18 28 35",0,1,0,0,1,1,2,2,4
60,"3 8 9 12 15",1,2,0,1,2,1,4,4,4
61,"3 12 14 21 35",1,1,0,1,1,1,2,2,4
62,"2 6 16 22 29",1,0,2,0,2,0,3,3,2
63,"5 10 18 21 29",1,0,1,1,0,1,3,3,4
64,"2 8 9 12 21",0,2,1,1,2,1,4,4,4
65,"8 15 27 29 31",0,2,0,2,0,2,2,3,3
66,"11 13 22 26 35",0,0,0,1,1,1,2,2,4
67,"2 3 8 13 21",0,2,1,3,0,1,4,4,5
68,"2 3 6 16 17",0,0,0,0,2,0,2,2,2
69,"8 13 24 25 31",1,2,0,0,0,1,2,3,5
